Post_Weekday	Post_Hour	Paid	Lifetime_Post_Total_Reach	Lifetime_Post_Total_Impressions	Lifetime_Engaged_Users	Lifetime_Post_Consumers	Lifetime_Post_Consumptions	Lifetime_Post_Impressions_by_people_who_have_liked_your_Page	Lifetime_Post_reach_by_people_who_like_your_Page	Lifetime_People_who_have_liked_your_Page_and_engaged_with_your_post	comment	like	share	Total_Interactions	ain	aout	class
4	3	0	2752	5091	178	109	159	3078	1640	119	4	79	17	100	7843	446	CR
3	10	0	10460	19057	1457	1361	1674	11710	6112	1108	5	130	29	164	29517	4492	IO
3	3	0	2413	4373	177	113	154	2812	1503	132	0	66	14	80	6786	444	CR
2	10	1	50128	87991	2211	790	1119	61027	32048	1386	58	1572	147	1777	138120	4120	CR
2	3	0	7244	13594	671	410	580	6228	3200	396	19	325	49	393	20838	1661	CR
1	9	0	10472	20849	1191	1073	1389	16034	7852	1016	1	152	33	186	31321	3653	IO
1	3	1	11692	19479	481	265	364	15432	9328	379	3	249	27	279	31172	1110	CR
7	9	1	13720	24137	537	232	305	19728	11056	422	0	325	14	339	37858	1074	CR
7	3	0	11844	22538	1530	1407	1692	15220	7912	1250	0	161	31	192	34382	4629	IO
6	10	0	4694	8668	280	183	250	4309	2324	199	3	113	26	142	13362	713	CR
5	10	0	21744	42334	4258	4100	4540	37849	18952	3798	0	233	19	252	64078	12898	IO
5	10	0	3112	5590	208	127	145	3887	2174	165	0	88	18	106	8702	480	CR
5	10	0	2847	5133	193	115	133	3779	2072	152	0	90	14	104	7980	441	CR
5	3	0	2549	4896	249	134	168	3631	1917	183	5	137	10	152	7445	551	CR
4	5	1	22784	39941	887	337	417	34415	19312	684	2	577	20	599	62726	1641	CR
3	10	0	10060	19680	1264	1209	1425	17272	8548	1162	4	86	18	108	29740	3898	IO
3	3	0	1722	2981	163	123	148	1868	1050	123	2	40	12	54	4703	434	CR
2	12	1	53264	111785	1706	1103	1655	92512	39776	1307	15	678	20	713	165050	4464	CR
2	3	0	3930	7509	130	86	112	5009	2410	101	4	54	17	75	11439	328	IO
1	11	0	1591	2825	121	88	111	2116	1161	100	0	34	8	42	4416	320	CR
1	3	0	2848	5066	200	142	184	3561	1963	157	3	66	12	81	7914	526	CR
7	10	0	1384	2467	15	15	20	2196	1172	15	0	0	0	0	3851	50	CR
7	10	0	3454	6853	118	104	130	6282	3100	106	0	16	2	18	10307	352	NC
7	3	0	2723	4888	176	118	143	2964	1621	143	0	72	24	96	7611	437	CR
6	10	0	8488	15294	1341	1270	1489	9684	5244	995	3	99	19	121	23782	4100	IO
6	3	0	8284	15104	1521	1462	1711	10266	5372	1200	0	88	18	106	23388	4694	IO
5	11	0	19552	34143	2806	2531	3420	17748	9824	1779	10	412	72	494	53695	8757	IO
5	3	0	2478	4306	212	124	149	2612	1443	166	0	100	17	117	6784	485	CR
5	3	0	9560	18264	973	559	885	9217	4748	621	36	523	63	622	27824	2417	CR
4	11	1	36208	61262	1141	1068	1728	30131	14112	559	18	143	13	174	97471	3937	NC
4	2	0	4940	9390	385	306	501	5860	2930	273	33	107	22	162	14330	1192	CR
3	10	0	1683	2929	192	171	221	1585	858	131	1	27	11	39	4612	584	CR
3	3	0	5280	9578	368	237	345	4480	2422	268	2	155	47	204	14858	950	CR
2	9	0	3002	5318	268	185	247	3039	1676	194	4	98	23	125	8320	700	CR
2	3	0	3766	7149	298	260	431	5782	2938	244	2	56	17	75	10915	989	CR
1	11	0	4512	7808	423	284	431	5183	2954	316	6	172	21	199	12320	1138	CR
1	3	0	2690	4628	252	168	226	3052	1727	199	0	96	17	113	7318	646	CR
7	10	1	19800	28663	479	424	805	5187	2752	248	16	76	8	100	48464	1708	CR
7	9	0	17576	33058	5352	5202	6547	23135	11792	4104	11	227	31	269	50634	17101	IO
